month,join_month,origin_month,channel,plan,active,lapsed
2,2,1,founder,studio,0.0,0
2,2,1,founder,assist,4.800000000000001,0
2,2,1,founder,business,0.0,0
2,2,1,partners,studio,0.0,0
2,2,1,partners,assist,1.68,0
2,2,1,partners,business,0.0,0
2,2,1,case_content,studio,0.0,0
2,2,1,case_content,assist,0.375,0
2,2,1,case_content,business,0.0,0
3,2,1,founder,studio,0.0,0.0
3,2,1,founder,assist,4.5120000000000005,0.28800000000000003
3,2,1,founder,business,0.0,0.0
3,2,1,partners,studio,0.0,0.0
3,2,1,partners,assist,1.5792,0.10079999999999999
3,2,1,partners,business,0.0,0.0
3,2,1,case_content,studio,0.0,0.0
3,2,1,case_content,assist,0.3525,0.0225
3,2,1,case_content,business,0.0,0.0
3,3,2,founder,studio,0.0,0
3,3,2,founder,assist,4.896,0
3,3,2,founder,business,0.0,0
3,3,2,partners,studio,0.0,0
3,3,2,partners,assist,1.7304,0
3,3,2,partners,business,0.0,0
3,3,2,case_content,studio,0.0,0
3,3,2,case_content,assist,0.38625000000000004,0
3,3,2,case_content,business,0.0,0
4,2,1,founder,studio,0.0,0.0
4,2,1,founder,assist,4.241280000000001,0.5587200000000001
4,2,1,founder,business,0.0,0.0
4,2,1,partners,studio,0.0,0.0
4,2,1,partners,assist,1.484448,0.19555199999999998
4,2,1,partners,business,0.0,0.0
4,2,1,case_content,studio,0.0,0.0
4,2,1,case_content,assist,0.33135,0.043649999999999994
4,2,1,case_content,business,0.0,0.0
4,3,2,founder,studio,0.0,0.0
4,3,2,founder,assist,4.60224,0.29375999999999997
4,3,2,founder,business,0.0,0.0
4,3,2,partners,studio,0.0,0.0
4,3,2,partners,assist,1.626576,0.10382399999999999
4,3,2,partners,business,0.0,0.0
4,3,2,case_content,studio,0.0,0.0
4,3,2,case_content,assist,0.36307500000000004,0.023175
4,3,2,case_content,business,0.0,0.0
4,4,3,founder,studio,0.0,0
4,4,3,founder,assist,4.99392,0
4,4,3,founder,business,0.0,0
4,4,3,partners,studio,0.0,0
4,4,3,partners,assist,1.782312,0
4,4,3,partners,business,0.0,0
4,4,3,case_content,studio,0.0,0
4,4,3,case_content,assist,0.3978375,0
4,4,3,case_content,business,0.0,0
5,2,1,founder,studio,0.0,0.0
5,2,1,founder,assist,3.9868032000000007,0.8131968
5,2,1,founder,business,0.0,0.0
5,2,1,partners,studio,0.0,0.0
5,2,1,partners,assist,1.39538112,0.28461887999999996
5,2,1,partners,business,0.0,0.0
5,2,1,case_content,studio,0.0,0.0
5,2,1,case_content,assist,0.311469,0.06353099999999999
5,2,1,case_content,business,0.0,0.0
5,3,2,founder,studio,0.0,0.0
5,3,2,founder,assist,4.3261056,0.5698943999999999
5,3,2,founder,business,0.0,0.0
5,3,2,partners,studio,0.0,0.0
5,3,2,partners,assist,1.52898144,0.20141855999999997
5,3,2,partners,business,0.0,0.0
5,3,2,case_content,studio,0.0,0.0
5,3,2,case_content,assist,0.34129050000000005,0.0449595
5,3,2,case_content,business,0.0,0.0
5,4,3,founder,studio,0.0,0.0
5,4,3,founder,assist,4.6942848,0.2996352
5,4,3,founder,business,0.0,0.0
5,4,3,partners,studio,0.0,0.0
5,4,3,partners,assist,1.6753732799999999,0.10693871999999999
5,4,3,partners,business,0.0,0.0
5,4,3,case_content,studio,0.0,0.0
5,4,3,case_content,assist,0.37396725000000003,0.02387025
5,4,3,case_content,business,0.0,0.0
5,5,4,founder,studio,0.0,0
5,5,4,founder,assist,5.093798400000001,0
5,5,4,founder,business,0.0,0
5,5,4,partners,studio,0.0,0
5,5,4,partners,assist,1.83578136,0
5,5,4,partners,business,0.0,0
5,5,4,case_content,studio,0.0,0
5,5,4,case_content,assist,0.409772625,0
5,5,4,case_content,business,0.0,0
6,2,1,founder,studio,0.0,0.0
6,2,1,founder,assist,3.7475950080000007,1.052404992
6,2,1,founder,business,0.0,0.0
6,2,1,partners,studio,0.0,0.0
6,2,1,partners,assist,1.3116582528,0.36834174719999996
6,2,1,partners,business,0.0,0.0
6,2,1,case_content,studio,0.0,0.0
6,2,1,case_content,assist,0.29278086,0.08221914
6,2,1,case_content,business,0.0,0.0
6,3,2,founder,studio,0.0,0.0
6,3,2,founder,assist,4.066539264,0.8294607359999999
6,3,2,founder,business,0.0,0.0
6,3,2,partners,studio,0.0,0.0
6,3,2,partners,assist,1.4372425536,0.29315744639999997
6,3,2,partners,business,0.0,0.0
6,3,2,case_content,studio,0.0,0.0
6,3,2,case_content,assist,0.32081307000000003,0.06543693
6,3,2,case_content,business,0.0,0.0
6,4,3,founder,studio,0.0,0.0
