month,opening_paid,new_paid,reactivated,churned,ending_paid,studio,assist,business,MRR,ARR_run_rate,paid_cash_contribution,paid_economic_contribution,service_revenue,service_economic_cost,trial_cash,trial_support_hours,acquisition_cash,acquisition_hours,fixed_cash,cash_operating_result,full_economic_result,receipts_after_fees,cash_out,ending_cash,founder_hours,capacity_exceeded
1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,5.166666666666667,120,32,150,-294.8,-2969.8,0,294.8,9705.2,89.16666666666666,False
2,0,6.855,0,0,6.855,0.0,6.855,0.0,267.345,3208.1400000000003,223.58268,172.17018000000002,0.0,0.0,25.384,5.288333333333333,120,32,150,-71.80131999999998,-2801.86382,0.0,322.1185,9383.0815,91.00208333333333,False
3,6.855,7.012650000000001,0,0.41130000000000005,13.45635,0.0,13.45635,0.0,524.79765,6297.5718,438.8923116,337.9696866,0.0,0.0,25.98232,5.412983333333333,120,32,150,142.9099916,-2640.4021334,250.31718,348.462085,9284.936595000001,92.77707083333334,False
4,13.45635,7.1740695,0.0,0.8073810000000001,19.8230385,0.0,19.8230385,0.0,773.0985015,9277.182018,646.5482237159999,497.87543496599994,0.0,0.0,26.595325600000002,5.540692833333334,120,32,150,349.9528981159999,-2484.940675634,491.3720766,373.90517575,9402.403495850001,94.49645245833334,False
5,19.8230385,7.3393523850000015,0.0,1.18938231,25.973008575,0.0,25.973008575,0.0,1012.947334425,12155.3680131,847.1356476822,652.3380833697,0.0,0.0,27.223392087999997,5.671540018333332,120,32,150,549.9122555942,-2335.0315092683,723.858073866,398.5181255305,9727.743444185502,96.16479216208333,False
6,25.973008575,7.50859497255,0.0,1.5583805145000003,31.92322303305,0.0,31.92322303305,0.0,1245.00569828895,14940.0683794674,1041.2078424459587,801.7836696980838,0.0,0.0,27.866904705040003,5.805605146883334,120,32,150,743.3409377409187,-2190.2513894134563,948.4303811247,422.367474533935,10253.806350776267,97.78641090514583,False
7,31.92322303305,7.681896078046501,0.0,1.915393381983,37.689725729113505,0.0,37.689725729113505,0.0,1469.8993034354266,17638.79164122512,1229.288094380766,946.6151514124148,0.0,0.0,28.5262589176792,5.942970607849833,120,32,150,930.761835463087,-2050.2002257407594,1165.7084122748538,445.5161892612218,10973.998573789899,99.3654020401282,False
8,37.689725729113505,7.859357081834295,0.0,2.2613835437468097,43.287699267200985,0.0,43.287699267200985,0.0,1688.2202714208383,20258.643257050062,1411.8715992990274,1087.2138547950199,0.0,0.0,29.201860698127344,6.08372097877653,120,32,150,1112.6697386009,-1914.4996352664032,1376.2780247243086,468.02388784021116,11882.252710673996,100.90564579557677,False
9,43.287699267200985,8.041081998164652,0.0,2.597261956032059,48.73151930933358,0.0,48.73151930933358,0.0,1900.5292530640095,22806.351036768116,1589.4272337932239,1223.940838973222,0.0,0.0,29.89412681224728,6.227943085884849,120,32,150,1289.5331069809765,-1782.791580415571,1580.6936264411115,489.94705211864823,12972.99928499646,102.41082291321824,False
10,48.73151930933358,8.227177546062427,0.0,2.9238911585600142,54.034805696835996,0.0,54.034805696835996,0.0,2107.357422176604,25288.289066119247,1762.399222608003,1357.1381798817329,0.0,0.0,30.603485115654337,6.375726065761321,120,32,150,1461.7957374923485,-1654.737087206761,1779.4801590996249,511.33922733331474,14241.140216762771,103.88442748997032,False
11,54.034805696835996,8.417753222156191,0.0,3.242088341810159,59.21047057718202,0.0,59.21047057718202,0.0,2309.208352510099,27710.500230121186,1931.208708345369,1487.1301790165037,0.0,0.0,31.3303748581444,6.527161428780082,120,32,150,1629.8783334872246,-1530.015038705043,1973.134964825663,532.2512101091543,15682.02397147928,105.32977907307558,False
12,59.21047057718202,8.612921375527007,0.0,3.552628234630921,64.27076371807811,0.0,64.27076371807811,0.0,2506.5597850050463,30078.717420060555,2096.2552294288357,1614.22450154325,0.0,0.0,32.075246996689565,6.682343124310325,120,32,150,1794.179982432146,-1408.3210391827497,2162.1295435963784,552.7312254971941,17291.422289578466,106.75003405382985,False
13,64.27076371807811,8.812797284633067,0.0,3.856245823084686,69.22731517962649,0.0,69.22731517962649,0.0,2699.865292005433,32398.383504065194,2257.9181118986976,1738.7132480514988,0.0,0.0,32.83856451724711,6.841367607759813,120,32,150,1955.0795473814505,-1289.3663446985424,2346.91120792934,572.8250937177904,19065.508403790016,108.14819640266643,False
14,69.22731517962649,9.017499236369115,0.0,4.153638910777588,74.09117550521802,0.0,74.09117550521802,0.0,2889.5558447035028,34674.67013644203,2416.557780278191,1860.8739639890557,0.0,0.0,33.620802765634515,7.004333909507191,120,32,150,2112.9369775125565,-1172.8768560617946,2527.904641099241,592.5763872359848,21000.83665765327,109.5271277858117,False
15,74.09117550521802,9.227148607321189,0.0,4.445470530313081,78.87285358222613,0.0,78.87285358222613,0.0,3076.041289706819,36912.495476481825,2572.5169924378874,1980.9705905711915,0.0,0.0,34.42244978773095,7.1713437057772795,120,32,150,2268.0945426501567,-1058.5921703898575,2705.5133647485413,612.0265787584128,23094.3234436434,110.8895571013338,False
16,78.87285358222613,9.441869947279043,0.0,4.7323712149335675,83.58235231457161,0.0,83.58235231457161,0.0,3259.7117402682925,39116.54088321951,2726.1220030920676,2099.2543607327807,0.0,0.0,35.24400667927281,7.342501391515168,120,32,150,2420.877996412795,-946.2646876919473,2880.1211214085697,631.215180706102,25343.22938434587,112.23808947015807,False
17,83.58235231457161,9.661791065070396,0.0,5.0149411388742955,88.2292022407677,0.0,88.2292022407677,0.0,3440.9388873899406,41291.26664867929,2877.6836602848794,2215.9646434791216,0.0,0.0,36.085987945519136,7.517914155316486,120,32,150,2571.59767233936,-835.6587691258924,3052.0931771188966,650.1798766845131,27745.14268478025,113.57521471550841,False
