month,join_month,origin_month,channel,plan,active,lapsed
2,2,1,founder,studio,0.0,0
2,2,1,founder,assist,6.0,0
2,2,1,founder,business,0.0,0
2,2,1,partners,studio,0.0,0
2,2,1,partners,assist,2.0999999999999996,0
2,2,1,partners,business,0.0,0
2,2,1,case_content,studio,0.0,0
2,2,1,case_content,assist,0.46875,0
2,2,1,case_content,business,0.0,0
3,2,1,founder,studio,0.0,0.0
3,2,1,founder,assist,5.76,0.24
3,2,1,founder,business,0.0,0.0
3,2,1,partners,studio,0.0,0.0
3,2,1,partners,assist,2.0159999999999996,0.08399999999999999
3,2,1,partners,business,0.0,0.0
3,2,1,case_content,studio,0.0,0.0
3,2,1,case_content,assist,0.45,0.01875
3,2,1,case_content,business,0.0,0.0
3,3,2,founder,studio,0.0,0
3,3,2,founder,assist,6.24,0
3,3,2,founder,business,0.0,0
3,3,2,partners,studio,0.0,0
3,3,2,partners,assist,2.1839999999999997,0
3,3,2,partners,business,0.0,0
3,3,2,case_content,studio,0.0,0
3,3,2,case_content,assist,0.4875,0
3,3,2,case_content,business,0.0,0
4,2,1,founder,studio,0.0,0.0
4,2,1,founder,assist,5.529599999999999,0.4704
4,2,1,founder,business,0.0,0.0
4,2,1,partners,studio,0.0,0.0
4,2,1,partners,assist,1.9353599999999995,0.16463999999999998
4,2,1,partners,business,0.0,0.0
4,2,1,case_content,studio,0.0,0.0
4,2,1,case_content,assist,0.432,0.036750000000000005
4,2,1,case_content,business,0.0,0.0
4,3,2,founder,studio,0.0,0.0
4,3,2,founder,assist,5.9904,0.24960000000000002
4,3,2,founder,business,0.0,0.0
4,3,2,partners,studio,0.0,0.0
4,3,2,partners,assist,2.09664,0.08736
4,3,2,partners,business,0.0,0.0
4,3,2,case_content,studio,0.0,0.0
4,3,2,case_content,assist,0.46799999999999997,0.0195
4,3,2,case_content,business,0.0,0.0
4,4,3,founder,studio,0.0,0
4,4,3,founder,assist,6.4896,0
4,4,3,founder,business,0.0,0
4,4,3,partners,studio,0.0,0
4,4,3,partners,assist,2.27136,0
4,4,3,partners,business,0.0,0
4,4,3,case_content,studio,0.0,0
4,4,3,case_content,assist,0.507,0
4,4,3,case_content,business,0.0,0
5,2,1,founder,studio,0.0,0.0
5,2,1,founder,assist,5.308415999999999,0.691584
5,2,1,founder,business,0.0,0.0
5,2,1,partners,studio,0.0,0.0
5,2,1,partners,assist,1.8579455999999996,0.24205439999999995
5,2,1,partners,business,0.0,0.0
5,2,1,case_content,studio,0.0,0.0
5,2,1,case_content,assist,0.41472,0.05403000000000001
5,2,1,case_content,business,0.0,0.0
5,3,2,founder,studio,0.0,0.0
5,3,2,founder,assist,5.750784,0.48921600000000004
5,3,2,founder,business,0.0,0.0
5,3,2,partners,studio,0.0,0.0
5,3,2,partners,assist,2.0127743999999996,0.17122559999999998
5,3,2,partners,business,0.0,0.0
5,3,2,case_content,studio,0.0,0.0
5,3,2,case_content,assist,0.44927999999999996,0.038220000000000004
5,3,2,case_content,business,0.0,0.0
5,4,3,founder,studio,0.0,0.0
5,4,3,founder,assist,6.230016,0.25958400000000004
5,4,3,founder,business,0.0,0.0
5,4,3,partners,studio,0.0,0.0
5,4,3,partners,assist,2.1805056,0.0908544
5,4,3,partners,business,0.0,0.0
5,4,3,case_content,studio,0.0,0.0
5,4,3,case_content,assist,0.48672,0.02028
5,4,3,case_content,business,0.0,0.0
5,5,4,founder,studio,0.0,0
5,5,4,founder,assist,6.749184,0
5,5,4,founder,business,0.0,0
5,5,4,partners,studio,0.0,0
5,5,4,partners,assist,2.3622144,0
5,5,4,partners,business,0.0,0
5,5,4,case_content,studio,0.0,0
5,5,4,case_content,assist,0.52728,0
5,5,4,case_content,business,0.0,0
6,2,1,founder,studio,0.0,0.0
6,2,1,founder,assist,5.096079359999999,0.9039206399999999
6,2,1,founder,business,0.0,0.0
6,2,1,partners,studio,0.0,0.0
6,2,1,partners,assist,1.7836277759999997,0.3163722239999999
6,2,1,partners,business,0.0,0.0
6,2,1,case_content,studio,0.0,0.0
6,2,1,case_content,assist,0.39813119999999996,0.07061880000000001
6,2,1,case_content,business,0.0,0.0
6,3,2,founder,studio,0.0,0.0
6,3,2,founder,assist,5.52075264,0.71924736
6,3,2,founder,business,0.0,0.0
6,3,2,partners,studio,0.0,0.0
6,3,2,partners,assist,1.9322634239999996,0.251736576
6,3,2,partners,business,0.0,0.0
6,3,2,case_content,studio,0.0,0.0
6,3,2,case_content,assist,0.43130879999999994,0.056191200000000004
6,3,2,case_content,business,0.0,0.0
6,4,3,founder,studio,0.0,0.0
6,4,3,founder,assist,5.98081536,0.50878464
6,4,3,founder,business,0.0,0.0
6,4,3,partners,studio,0.0,0.0
6,4,3,partners,assist,2.093285376,0.17807462400000001
6,4,3,partners,business,0.0,0.0
6,4,3,case_content,studio,0.0,0.0
6,4,3,case_content,assist,0.4672512,0.0397488
6,4,3,case_content,business,0.0,0.0
6,5,4,founder,studio,0.0,0.0
6,5,4,founder,assist,6.47921664,0.26996736
6,5,4,founder,business,0.0,0.0
6,5,4,partners,studio,0.0,0.0
6,5,4,partners,assist,2.2677258240000002,0.094488576
6,5,4,partners,business,0.0,0.0
6,5,4,case_content,studio,0.0,0.0
6,5,4,case_content,assist,0.5061888,0.0210912
6,5,4,case_content,business,0.0,0.0
6,6,5,founder,studio,0.0,0
6,6,5,founder,assist,7.019151360000001,0
6,6,5,founder,business,0.0,0
6,6,5,partners,studio,0.0,0
6,6,5,partners,assist,2.4567029760000003,0
6,6,5,partners,business,0.0,0
6,6,5,case_content,studio,0.0,0
6,6,5,case_content,assist,0.5483712000000001,0
6,6,5,case_content,business,0.0,0
7,2,1,founder,studio,0.0,0.0
7,2,1,founder,assist,4.892236185599999,1.1077638144
7,2,1,founder,business,0.0,0.0
7,2,1,partners,studio,0.0,0.0
7,2,1,partners,assist,1.7122826649599996,0.38771733503999994
7,2,1,partners,business,0.0,0.0
7,2,1,case_content,studio,0.0,0.0
7,2,1,case_content,assist,0.38220595199999996,0.08654404800000001
7,2,1,case_content,business,0.0,0.0
7,3,2,founder,studio,0.0,0.0
7,3,2,founder,assist,5.2999225344,0.9400774656
7,3,2,founder,business,0.0,0.0
7,3,2,partners,studio,0.0,0.0
7,3,2,partners,assist,1.8549728870399997,0.32902711296
7,3,2,partners,business,0.0,0.0
7,3,2,case_content,studio,0.0,0.0
7,3,2,case_content,assist,0.41405644799999997,0.073443552
7,3,2,case_content,business,0.0,0.0
7,4,3,founder,studio,0.0,0.0
7,4,3,founder,assist,5.741582745600001,0.7480172544
7,4,3,founder,business,0.0,0.0
7,4,3,partners,studio,0.0,0.0
7,4,3,partners,assist,2.00955396096,0.26180603904
7,4,3,partners,business,0.0,0.0
7,4,3,case_content,studio,0.0,0.0
7,4,3,case_content,assist,0.44856115199999996,0.058438848
7,4,3,case_content,business,0.0,0.0
7,5,4,founder,studio,0.0,0.0
7,5,4,founder,assist,6.2200479744,0.5291360256
7,5,4,founder,business,0.0,0.0
7,5,4,partners,studio,0.0,0.0
7,5,4,partners,assist,2.1770167910400002,0.18519760896
7,5,4,partners,business,0.0,0.0
7,5,4,case_content,studio,0.0,0.0
7,5,4,case_content,assist,0.485941248,0.041338752
7,5,4,case_content,business,0.0,0.0
7,6,5,founder,studio,0.0,0.0
7,6,5,founder,assist,6.738385305600001,0.2807660544000001
7,6,5,founder,business,0.0,0.0
7,6,5,partners,studio,0.0,0.0
7,6,5,partners,assist,2.35843485696,0.09826811904000002
7,6,5,partners,business,0.0,0.0
7,6,5,case_content,studio,0.0,0.0
7,6,5,case_content,assist,0.526436352,0.021934848000000003
7,6,5,case_content,business,0.0,0.0
7,7,6,founder,studio,0.0,0
7,7,6,founder,assist,7.299917414400001,0
7,7,6,founder,business,0.0,0
7,7,6,partners,studio,0.0,0
7,7,6,partners,assist,2.5549710950400004,0
7,7,6,partners,business,0.0,0
7,7,6,case_content,studio,0.0,0
7,7,6,case_content,assist,0.5703060480000001,0
7,7,6,case_content,business,0.0,0
8,2,1,founder,studio,0.0,0.0
8,2,1,founder,assist,4.696546738175999,1.303453261824
8,2,1,founder,business,0.0,0.0
8,2,1,partners,studio,0.0,0.0
8,2,1,partners,assist,1.6437913583615995,0.4562086416383999
8,2,1,partners,business,0.0,0.0
8,2,1,case_content,studio,0.0,0.0
8,2,1,case_content,assist,0.36691771391999994,0.10183228608000001
8,2,1,case_content,business,0.0,0.0
8,3,2,founder,studio,0.0,0.0
8,3,2,founder,assist,5.087925633024001,1.152074366976
8,3,2,founder,business,0.0,0.0
8,3,2,partners,studio,0.0,0.0
8,3,2,partners,assist,1.7807739715583997,0.40322602844159994
8,3,2,partners,business,0.0,0.0
8,3,2,case_content,studio,0.0,0.0
8,3,2,case_content,assist,0.39749419008,0.09000580992
8,3,2,case_content,business,0.0,0.0
8,4,3,founder,studio,0.0,0.0
8,4,3,founder,assist,5.511919435776001,0.9776805642240001
8,4,3,founder,business,0.0,0.0
8,4,3,partners,studio,0.0,0.0
8,4,3,partners,assist,1.9291718025216,0.3421881974784
8,4,3,partners,business,0.0,0.0
8,4,3,case_content,studio,0.0,0.0
8,4,3,case_content,assist,0.43061870591999996,0.07638129408
8,4,3,case_content,business,0.0,0.0
8,5,4,founder,studio,0.0,0.0
8,5,4,founder,assist,5.971246055424,0.777937944576
8,5,4,founder,business,0.0,0.0
8,5,4,partners,studio,0.0,0.0
8,5,4,partners,assist,2.0899361193984003,0.27227828060160003
8,5,4,partners,business,0.0,0.0
8,5,4,case_content,studio,0.0,0.0
8,5,4,case_content,assist,0.46650359807999997,0.06077640192
8,5,4,case_content,business,0.0,0.0
8,6,5,founder,studio,0.0,0.0
8,6,5,founder,assist,6.468849893376001,0.5503014666240001
8,6,5,founder,business,0.0,0.0
8,6,5,partners,studio,0.0,0.0
8,6,5,partners,assist,2.2640974626816,0.19260551331840003
8,6,5,partners,business,0.0,0.0
8,6,5,case_content,studio,0.0,0.0
8,6,5,case_content,assist,0.50537889792,0.04299230208
8,6,5,case_content,business,0.0,0.0
8,7,6,founder,studio,0.0,0.0
8,7,6,founder,assist,7.0079207178240015,0.2919966965760001
8,7,6,founder,business,0.0,0.0
8,7,6,partners,studio,0.0,0.0
8,7,6,partners,assist,2.4527722512384003,0.10219884380160002
8,7,6,partners,business,0.0,0.0
8,7,6,case_content,studio,0.0,0.0
8,7,6,case_content,assist,0.5474938060800001,0.022812241920000004
8,7,6,case_content,business,0.0,0.0
8,8,7,founder,studio,0.0,0
8,8,7,founder,assist,7.591914110976003,0
8,8,7,founder,business,0.0,0
8,8,7,partners,studio,0.0,0
8,8,7,partners,assist,2.6571699388416006,0
8,8,7,partners,business,0.0,0
8,8,7,case_content,studio,0.0,0
8,8,7,case_content,assist,0.5931182899200002,0
8,8,7,case_content,business,0.0,0
9,2,1,founder,studio,0.0,0.0
9,2,1,founder,assist,4.50868486864896,1.49131513135104
