month,channel,qualified,trials,activated,expected_new_paid,payment_cohort_month,cash_acquisition,economic_acquisition,cash_CAC,full_CAC
1,founder,50.0,25.0,15.0,6.0,2,20,500,6.666666666666667,107.5
1,partners,25.0,10.0,6.0,2.0999999999999996,2,100,340,51.42857142857144,189.52380952380955
1,case_content,25.0,3.75,1.875,0.46875,2,0,240,6.4,558.4
2,founder,52.0,26.0,15.6,6.24,3,20,500,6.538461538461537,104.29487179487178
2,partners,26.0,10.4,6.24,2.1839999999999997,3,100,340,49.5970695970696,183.29670329670333
2,case_content,26.0,3.9,1.95,0.4875,3,0,240,6.4,538.7076923076924
3,founder,54.080000000000005,27.040000000000003,16.224,6.4896,4,20,500,6.4151873767258385,101.2130177514793
3,partners,27.040000000000003,10.816000000000003,6.489600000000001,2.27136,4,100,340,47.83601014370245,177.309101155255
3,case_content,27.040000000000003,4.056,2.028,0.507,4,0,240,6.4,519.7727810650888
4,founder,56.2432,28.1216,16.87296,6.749184,5,20,500,6.29665452890305,98.24969655590958
4,partners,28.1216,11.248640000000002,6.7491840000000005,2.3622144,5,100,340,46.14268374623404,171.5517914038624
4,case_content,28.1216,4.21824,2.10912,0.52728,5,0,240,6.4,501.5661356395085
5,founder,58.49292800000001,29.246464000000007,17.547878400000002,7.019151360000001,6,20,500,6.182680636765752,95.40034925247714
5,partners,29.246464000000007,11.698585600000003,7.019151360000001,2.4567029760000003,6,100,340,44.514485287129794,166.01591664290797
5,case_content,29.246464000000007,4.3869696000000005,2.1934848000000002,0.5483712000000001,6,0,240,6.4,484.0597458072196
6,founder,60.83264512000001,30.416322560000005,18.249793536000002,7.299917414400001,7,20,500,6.0730903558645055,92.66059222994596
6,partners,30.416322560000005,12.166529024000003,7.299917414400001,2.5549710950400004,7,100,340,42.94890984568341,160.69296014199026
6,case_content,30.416322560000005,4.5624483840000005,2.2812241920000003,0.5703060480000001,7,0,240,6.4,467.226678660788
7,founder,63.265950924800016,31.632975462400008,18.979785277440005,7.591914110976003,8,20,500,5.967715085767152,90.02621047751214
7,partners,31.632975462400008,12.653190184960003,7.591914110976002,2.6571699388416006,8,100,340,41.44354884429266,155.57473273726168
7,case_content,31.632975462400008,4.744946319360001,2.3724731596800006,0.5931182899200002,8,0,240,6.4,451.04103717383464
8,founder,65.79658896179201,32.898294480896006,19.7389766885376,7.895590675415041,9,20,500,5.866392710673544,87.49315110017196
8,partners,32.898294480896006,13.159317792358403,7.895590675415042,2.7634567363952645,9,100,340,39.996086342955394,150.653360232715
8,case_content,32.898294480896006,4.9347441721344,2.4673720860672,0.6168430215168,9,0,240,6.4,435.47792035945645
9,founder,68.42845252026369,34.214226260131845,20.528535756079105,8.211414302431642,10,20,500,5.768967350006613,85.05751708349867
9,partners,34.214226260131845,13.685690504052738,8.211414302431642,2.8739950058510746,10,100,340,38.60429547628495,145.92127128603553
9,case_content,34.214226260131845,5.132133939019776,2.566066969509888,0.641516742377472,10,0,240,6.4,420.5133849610158
10,founder,71.16559062107424,35.58279531053712,21.34967718632227,8.539870874528908,11,20,500,5.675289118596102,82.71556129823588
10,partners,35.58279531053712,14.23311812421485,8.539870874528908,2.988954806085118,11,100,340,37.26603502756337,141.37118576038213
10,case_content,35.58279531053712,5.337419296580568,2.668709648290284,0.667177412072571,11,0,240,6.4,406.12440861636134
11,founder,74.01221424591722,37.00610712295861,22.203664273775164,8.881465709510065,12,20,500,5.585213896085996,80.46368073548322
11,partners,37.00610712295861,14.802442849183445,8.881465709510067,3.108512998328523,12,100,340,35.97924613456184,136.99610352417693
11,case_content,37.00610712295861,5.550916068443791,2.7754580342218955,0.6938645085554739,12,0,240,6.3999999999999995,392.2888544388089
12,founder,76.97270281575392,38.48635140787696,23.091810844726176,9.23672433789047,13,20,500,5.498603105210893,78.29841096360566
12,partners,38.48635140787696,15.394540563150784,9.23672433789047,3.2328535182616642,13,100,340,34.741949122060376,132.78929368167195
12,case_content,38.48635140787696,5.772952711181544,2.886476355590772,0.721619088897693,13,0,240,6.3999999999999995,378.9854369603931
13,founder,80,40.0,24.0,9.600000000000001,14,20,500,5.416666666666666,76.24999999999999
13,partners,40.02580546419204,16.010322185676817,9.60619331140609,3.362167658992131,14,100,340,33.55224045619359,128.74428421772487
13,case_content,40.02580546419204,6.003870819628806,3.001935409814403,0.7504838524536007,14,0,240,6.4,366.1936893849934
14,founder,80,40.0,24.0,9.600000000000001,15,20,500,5.416666666666666,76.24999999999999
14,partners,41.62683768275972,16.65073507310389,9.990441043862333,3.4966543653518163,15,100,340,32.40828981593705,124.85485204085265
14,case_content,41.62683768275972,6.244025652413958,3.122012826206979,0.7805032065517448,15,0,240,6.4,353.8939321009552
15,founder,80,40.0,24.0,9.600000000000001,16,20,500,5.416666666666666,76.24999999999999
15,partners,43.29191119007011,17.316764476028045,10.390058685616827,3.6365205399658893,16,100,340,31.30833727722885,121.11501340924475
15,case_content,43.29191119007011,6.493786678510516,3.246893339255258,0.8117233348138145,16,0,240,6.4,342.0672424047646
16,founder,80,40.0,24.0,9.600000000000001,17,20,500,5.416666666666666,76.24999999999999
16,partners,45.02358763767291,18.009435055069165,10.805661033041499,3.7819813615645246,17,100,340,30.25069060539404,117.5190147250064
16,case_content,45.02358763767291,6.7535381456509365,3.3767690728254682,0.8441922682063671,17,0,240,6.4,330.69542538919677
17,founder,80,40.0,24.0,9.600000000000001,18,20,500,5.416666666666666,76.24999999999999
17,partners,46.82453114317983,18.729812457271933,11.23788747436316,3.9332606160271055,18,100,340,29.233722651706724,114.06132368246953
17,case_content,46.82453114317983,7.023679671476975,3.5118398357384875,0.8779599589346219,18,0,240,6.4,319.76098595115064
18,founder,80,40.0,24.0,9.600000000000001,19,20,500,5.416666666666666,76.24999999999999
18,partners,48.69751238890703,19.479004955562814,11.687402973337688,4.0905910406681905,19,100,340,28.2558688500843,110.7366207569533
18,case_content,48.69751238890703,7.304626858336054,3.652313429168027,0.9130783572920067,19,0,240,6.4,309.24710187610646
19,founder,80,40.0,24.0,9.600000000000001,20,20,500,5.416666666666666,76.24999999999999
19,partners,50.64541288446331,20.258165153785328,12.154899092271195,4.2542146822949185,20,100,340,27.315624810062744,107.53979102087999
19,case_content,50.64541288446331,7.596811932669496,3.798405966334748,0.949601491583687,20,0,240,6.4,299.13759795779464
20,founder,80,40.0,24.0,9.600000000000001,21,20,500,5.416666666666666,76.24999999999999
20,partners,52.67122939984185,21.06849175993674,12.641095055962044,4.424383269586715,21,100,340,26.411544002349704,104.46591627465567
20,case_content,52.67122939984185,7.900684409976277,3.9503422049881385,0.9875855512470346,21,0,240,6.4,289.4169211132641
21,founder,80,40.0,24.0,9.600000000000001,22,20,500,5.416666666666666,76.24999999999999
21,partners,54.77807857583552,21.91123143033421,13.146738858200527,4.601358600370184,22,100,340,25.542235533394862,101.51026748020921
21,case_content,54.77807857583552,8.216711786375328,4.108355893187664,1.027088973296916,22,0,240,6.4,280.0701164550616
22,founder,80,40.0,24.0,9.600000000000001,23,20,500,5.416666666666666,76.24999999999999
22,partners,56.969201718868945,22.787680687547578,13.672608412528547,4.785412944384991,23,100,340,24.70636200555367,98.66829748554915
22,case_content,56.969201718868945,8.545380257830342,4.272690128915171,1.0681725322287927,23,0,240,6.4,271.0828042837131
23,founder,80,40.0,24.0,9.600000000000001,24,20,500,5.416666666666666,76.24999999999999
23,partners,59.2479697876237,23.69918791504948,14.219512749029688,4.97682946216039,24,100,340,23.902637459552526,95.93563402914525
23,case_content,59.2479697876237,8.887195468143554,4.443597734071777,1.1108994335179443,24,0,240,6.4,262.4411579651087
24,founder,80,40.0,24.0,9.600000000000001,25,20,500,5.416666666666666,76.24999999999999
24,partners,61.61788857912865,24.647155431651463,14.788293258990876,5.1759026406468065,25,100,340,23.129825396089878,93.30807301337227
24,case_content,61.61788857912865,9.242683286869298,4.621341643434649,1.1553354108586622,25,0,240,6.4,254.13188265875834
25,founder,80,40.0,24.0,9.600000000000001,26,20,500,5.416666666666666,76.24999999999999
25,partners,64.0826041222938,25.633041648917523,15.379824989350514,5.382938746272679,26,100,340,22.386736873529642,90.78157203666746
25,case_content,64.0826041222938,9.61239061834407,4.806195309172035,1.2015488272930088,26,0,240,6.4,246.14219486419074
26,founder,80,40.0,24.0,9.600000000000001,27,20,500,5.416666666666666,76.24999999999999
26,partners,66.64590828718555,26.658363314874222,15.995017988924532,5.598256296123586,27,100,340,21.67222867876019,88.35224417445131
26,case_content,66.64590828718555,9.996886243077832,4.998443121538916,1.249610780384729,27,0,240,6.4,238.45980275402957
27,founder,80,40.0,24.0,9.600000000000001,28,20,500,5.416666666666666,76.24999999999999
27,partners,69.31174461867298,27.72469784746919,16.634818708481514,5.8221865479685295,28,100,340,20.985201568404943,86.01635199924347
27,case_content,69.31174461867298,10.396761692800945,5.198380846400473,1.2995952116001181,28,0,240,6.400000000000001,231.07288726348997
28,founder,80,40.0,24.0,9.600000000000001,29,20,500,5.416666666666666,76.24999999999999
28,partners,72.0842144034199,28.833685761367963,17.300211456820776,6.055074009887271,29,100,340,20.324598577678746,83.77030183077441
28,case_content,72.0842144034199,10.812632160512985,5.4063160802564925,1.3515790200641231,29,0,240,6.4,223.97008390720185
29,founder,80,40.0,24.0,9.600000000000001,30,20,500,5.416666666666666,76.24999999999999
29,partners,74.9675829795567,29.98703319182268,17.992219915093607,6.297276970282762,30,100,340,19.689403394288174,81.61063820724645
29,case_content,74.9675829795567,11.245137446933503,5.622568723466752,1.405642180866688,30,0,240,6.4,217.1404652953864
30,founder,80,40.0,24.0,9.600000000000001,31,20,500,5.416666666666666,76.24999999999999
30,partners,77.96628629873898,31.186514519495592,18.711908711697355,6.549168049094074,31,100,340,19.078638794874156,79.53403856923879
30,case_content,77.96628629873898,11.694942944810846,5.847471472405423,1.4618678681013557,31,0,240,6.4,210.57352432248692
31,founder,80,40.0,24.0,9.600000000000001,32,20,500,5.416666666666666,76.24999999999999
31,partners,80,32.0,19.2,6.72,32,100,340,18.69047619047619,78.21428571428572
31,case_content,80,12.0,6.0,1.5,32,0,240,6.400000000000001,206.4
32,founder,80,40.0,24.0,9.600000000000001,33,20,500,5.416666666666666,76.24999999999999
32,partners,80,32.0,19.2,6.72,33,100,340,18.69047619047619,78.21428571428572
32,case_content,80,12.0,6.0,1.5,33,0,240,6.400000000000001,206.4
33,founder,80,40.0,24.0,9.600000000000001,34,20,500,5.416666666666666,76.24999999999999
33,partners,80,32.0,19.2,6.72,34,100,340,18.69047619047619,78.21428571428572
33,case_content,80,12.0,6.0,1.5,34,0,240,6.400000000000001,206.4
34,founder,80,40.0,24.0,9.600000000000001,35,20,500,5.416666666666666,76.24999999999999
34,partners,80,32.0,19.2,6.72,35,100,340,18.69047619047619,78.21428571428572
